Scenario_ID,Flight,Scheduled Ha Block,Delay,From,To,Gate Nr.,Local Total,Actual_Window,D_s1_Unloading,D_s2_Transport,D_s3_Infeed,Total_Duration
2026-04-01_rep_3,SN3154,11:16:00,0.0,11:28:00,11:42:00,A42 ,10.0,18.0,1.04,1.47,14.0,16.51
2026-04-01_rep_3,SN3160,00:21:00,-6.0,00:27:00,00:28:00,A49 ,19.0,18.0,1.42,1.57,1.0,4.0
2026-04-01_rep_3,SN3170,16:23:00,12.0,16:53:00,16:55:00,A42 ,12.0,21.0,0.94,1.26,2.0,4.19
2026-04-01_rep_3,SN3176,13:33:00,11.0,14:01:00,14:03:00,A48 ,35.0,25.0,2.69,1.07,2.0,5.76
2026-04-01_rep_3,SN3182,21:25:00,63.0,22:47:00,22:53:00,A47 ,35.0,24.0,3.48,1.6,6.0,11.08
2026-04-01_rep_3,SN3184,00:20:00,152.0,03:10:00,03:13:00,A48 ,51.0,23.0,3.4,2.56,3.0,8.96
2026-04-01_rep_3,SN319,06:06:00,31.0,06:51:00,07:11:00,B28 A,83.0,20.0,6.11,0.11,20.0,26.22
2026-04-01_rep_3,SN3246,18:54:00,-5.0,19:04:00,19:06:00,A58 ,27.0,19.0,2.0,1.76,2.0,5.76
2026-04-01_rep_3,SN3344,21:24:00,-11.0,21:26:00,21:27:00,A42 ,10.0,22.0,0.76,1.63,1.0,3.39
2026-04-01_rep_3,SN3594,09:33:00,-10.0,09:41:00,09:48:00,A42 ,2.0,21.0,0.14,1.58,7.0,8.73
2026-04-01_rep_3,SN3598,16:18:00,1.0,16:32:00,16:46:00,A40 ,37.0,16.0,3.02,2.06,14.0,19.08
2026-04-01_rep_3,SN3604,09:32:00,-18.0,09:32:00,09:34:00,A50 ,6.0,25.0,0.64,1.46,2.0,4.1
2026-04-01_rep_3,SN3618,16:35:00,-7.0,16:39:00,16:40:00,A44 ,23.0,16.0,1.96,1.65,1.0,4.6
2026-04-01_rep_3,SN3622,19:18:00,1.0,19:32:00,19:33:00,A40 ,26.0,21.0,2.16,1.71,1.0,4.86
2026-04-01_rep_3,SN3632,10:45:00,-19.0,10:44:00,10:52:00,A58 ,4.0,33.0,0.31,1.97,8.0,10.27
2026-04-01_rep_3,SN3634,12:04:00,7.0,12:40:00,12:41:00,A60 ,10.0,38.0,1.02,2.3,1.0,4.33
2026-04-01_rep_3,SN3668,14:53:00,3.0,15:21:00,15:22:00,A62 ,15.0,28.0,1.22,1.75,1.0,3.97
2026-04-01_rep_3,SN3676,09:41:00,3.0,10:02:00,10:05:00,A45 ,9.0,24.0,0.72,1.53,3.0,5.25
2026-04-01_rep_3,SN3698,15:33:00,42.0,16:34:00,16:37:00,A50 ,26.0,22.0,2.02,1.67,3.0,6.69
2026-04-01_rep_3,SN3704,18:18:00,95.0,20:11:00,20:14:00,A44 ,18.0,21.0,1.23,1.36,3.0,5.59
2026-04-01_rep_3,SN3706,00:29:00,10.0,00:57:00,00:59:00,A56 ,8.0,22.0,0.78,1.87,2.0,4.65
2026-04-01_rep_3,SN3712,19:46:00,35.0,20:49:00,20:52:00,A46 ,57.0,34.0,4.18,1.57,3.0,8.76
2026-04-01_rep_3,SN3722,15:58:00,80.0,17:40:00,17:43:00,A48 ,40.0,25.0,2.69,1.71,3.0,7.4
2026-04-01_rep_3,SN3728,21:00:00,31.0,22:02:00,22:04:00,A59 ,24.0,36.0,2.1,1.38,2.0,5.48
2026-04-01_rep_3,SN3736,19:31:00,11.0,20:10:00,20:13:00,A56 ,68.0,34.0,4.67,2.05,3.0,9.72
2026-04-01_rep_3,SN3738,00:13:00,8.0,02:06:00,02:11:00,A50 ,47.0,108.0,3.78,1.42,5.0,10.2
2026-04-01_rep_3,SN3752,01:17:00,44.0,02:21:00,02:26:00,A62 ,48.0,87.0,4.57,1.98,5.0,11.55
2026-04-01_rep_3,SN3772,12:38:00,7.0,13:02:00,13:04:00,A42 ,44.0,20.0,3.59,1.43,2.0,7.01
2026-04-01_rep_3,SN3782,17:46:00,3.0,18:23:00,18:28:00,A60 ,107.0,40.0,10.79,1.56,5.0,17.35
2026-04-01_rep_3,SN3788,01:10:00,3.0,01:40:00,01:56:00,A45 ,138.0,32.0,11.1,1.51,16.0,28.61
2026-04-01_rep_3,SN3802,17:04:00,-5.0,17:19:00,17:21:00,A54 ,42.0,24.0,2.73,1.74,2.0,6.47
2026-04-01_rep_3,SN3804,19:33:00,88.0,21:25:00,21:27:00,A50 ,8.0,27.0,0.7,1.32,2.0,4.02
2026-04-01_rep_3,SN3810,21:14:00,6.0,21:41:00,21:43:00,A48 ,45.0,25.0,3.38,1.62,2.0,7.0
2026-04-01_rep_3,SN3812,17:18:00,10.0,17:57:00,18:00:00,A56 ,103.0,32.0,8.69,1.98,3.0,13.66
2026-04-01_rep_3,SN3816,16:43:00,33.0,17:37:00,17:41:00,A46 ,43.0,24.0,4.76,2.04,4.0,10.8
2026-04-01_rep_3,SN3820,00:45:00,0.0,02:00:00,02:02:00,A64 ,21.0,80.0,1.64,1.85,2.0,5.49
2026-04-01_rep_3,SN465,07:51:00,1.0,08:12:00,08:36:00,B34 A,66.0,26.0,5.7,0.12,24.0,29.82
2026-04-01_rep_3,TB1012,13:35:00,13.0,14:04:00,14:07:00,A57 ,73.0,21.0,4.96,1.48,3.0,9.44
2026-04-01_rep_3,TB1552,16:44:00,13.0,17:20:00,17:27:00,A65 ,157.0,27.0,10.82,1.56,7.0,19.38
2026-04-01_rep_3,TB1711,18:15:00,-4.0,18:29:00,18:33:00,A61 ,156.0,23.0,9.78,1.69,4.0,15.47
2026-04-01_rep_3,TB1754,23:29:00,12.0,00:01:00,00:09:00,A63 ,167.0,24.0,11.15,1.57,8.0,20.72
2026-04-01_rep_3,TB2511,17:45:00,21.0,18:31:00,18:37:00,B32 A,160.0,30.0,11.07,0.1,6.0,17.17
2026-04-01_rep_3,TB2634,22:26:00,12.0,22:57:00,23:02:00,B14 A,133.0,25.0,10.55,0.09,5.0,15.64
2026-04-01_rep_3,TG934,08:20:00,-9.0,08:24:00,08:56:00,B29 A,264.0,18.0,17.16,0.1,32.0,49.25
2026-04-01_rep_3,TK1937,11:17:00,2.0,11:38:00,11:46:00,B30 A,148.0,26.0,12.52,0.11,8.0,20.63
2026-04-01_rep_3,TK1939,18:56:00,-16.0,18:58:00,19:13:00,B11 A,149.0,24.0,11.2,0.12,15.0,26.32
2026-04-01_rep_3,TK1941,22:30:00,-36.0,22:28:00,22:34:00,B9  A,143.0,39.0,8.59,1.58,6.0,16.18
2026-04-01_rep_3,TK1943,14:33:00,-25.0,14:20:00,14:25:00,B7  A,72.0,20.0,4.73,1.3,5.0,11.03
2026-04-01_rep_3,TP640,12:06:00,1.0,12:28:00,12:32:00,A51 ,118.0,27.0,10.66,1.59,4.0,16.25
2026-04-01_rep_3,TP642,16:12:00,12.0,16:36:00,16:52:00,A57 ,118.0,19.0,8.34,1.95,16.0,26.3
2026-04-01_rep_3,TP644,21:12:00,36.0,22:03:00,22:06:00,A51 ,63.0,22.0,4.49,1.93,3.0,9.43
2026-04-01_rep_3,TP646,01:04:00,88.0,02:46:00,02:50:00,A59 ,30.0,23.0,2.28,1.48,4.0,7.75
2026-04-01_rep_3,TU954,12:29:00,374.0,18:59:00,19:04:00,B29 A,114.0,20.0,10.52,0.1,5.0,15.61
2026-04-01_rep_3,UA950,08:20:00,0.0,08:36:00,09:25:00,B38 A,176.0,21.0,17.49,0.11,49.0,66.6
2026-04-01_rep_3,UA972,10:06:00,9.0,10:33:00,10:55:00,B38 A,101.0,24.0,6.95,0.13,22.0,29.08
2026-04-01_rep_3,UA994,08:51:00,-19.0,08:52:00,09:25:00,B40 A,171.0,26.0,15.35,0.11,33.0,48.46
2026-04-01_rep_3,UX1171,10:52:00,22.0,11:33:00,11:35:00,A48 ,66.0,26.0,4.54,1.69,2.0,8.22
2026-04-01_rep_3,UX1173,18:46:00,12.0,19:16:00,19:19:00,A53 ,64.0,24.0,6.07,1.67,3.0,10.74
2026-04-01_rep_3,VF65,12:21:00,-27.0,12:11:00,12:18:00,B27 A,117.0,23.0,10.44,0.09,7.0,17.53
2026-04-01_rep_3,VY1334,21:29:00,13.0,21:54:00,21:56:00,A49 ,37.0,16.0,2.48,1.64,2.0,6.12
2026-04-01_rep_3,VY2150,20:45:00,-6.0,20:53:00,20:55:00,A57 ,37.0,19.0,2.49,1.87,2.0,6.36
2026-04-01_rep_3,VY3650,18:49:00,-2.0,18:59:00,19:03:00,A57 ,15.0,16.0,1.21,1.56,4.0,6.77
2026-04-01_rep_3,VY8980,10:56:00,-3.0,11:02:00,11:03:00,A54 ,19.0,20.0,1.79,1.56,1.0,4.35
2026-04-01_rep_3,VY8982,18:30:00,-4.0,18:51:00,18:53:00,A63 ,45.0,30.0,4.14,1.79,2.0,7.93
2026-04-01_rep_3,VY8984,21:21:00,4.0,21:42:00,21:43:00,A55 ,38.0,23.0,3.93,1.93,1.0,6.86
2026-04-01_rep_3,VY8986,15:35:00,-15.0,15:34:00,15:43:00,A53 ,38.0,19.0,3.69,1.36,9.0,14.05
2026-04-01_rep_4,AC832,08:17:00,-31.0,08:02:00,08:29:00,B30 A,122.0,23.0,10.69,0.1,27.0,37.78
2026-04-01_rep_4,AY1541,10:27:00,-15.0,10:30:00,10:33:00,A56 ,57.0,25.0,4.47,1.98,3.0,9.44
2026-04-01_rep_4,AY1545,19:25:00,-13.0,19:27:00,19:30:00,A45 ,34.0,20.0,2.26,1.51,3.0,6.77
2026-04-01_rep_4,AY1549,23:40:00,-30.0,23:22:00,23:23:00,A53 ,32.0,17.0,2.58,1.71,1.0,5.29
2026-04-01_rep_4,AZ148,09:40:00,-11.0,09:50:00,09:51:00,A55 ,1.0,26.0,0.07,2.03,1.0,3.1
