Date,Flight,Scheduled Time,E/A Time,Delay,Scheduled Ha Block,Ha Block,From,To,Gate Nr.,Local Total
2026-04-01,LO231,2026-04-01 23:35:00,2026-04-01 23:21:00,-14.0,2026-04-01 23:40:00,2026-04-01 23:26:00,2026-04-01 23:44:00,2026-04-01 23:45:00,A57 ,12.0
2026-04-01,LO233,2026-04-01 19:40:00,2026-04-01 19:27:00,-13.0,2026-04-01 19:49:00,2026-04-01 19:36:00,2026-04-01 19:53:00,2026-04-01 19:54:00,A64 ,39.0
2026-04-01,LO235,2026-04-01 10:25:00,2026-04-01 09:54:00,-31.0,2026-04-01 10:34:00,2026-04-01 10:03:00,2026-04-01 10:15:00,2026-04-01 10:16:00,A60 ,9.0
2026-04-01,LO237,2026-04-01 13:30:00,2026-04-01 13:06:00,-24.0,2026-04-01 13:35:00,2026-04-01 13:11:00,2026-04-01 13:29:00,2026-04-01 13:31:00,A47 ,20.0
2026-04-01,LX780,2026-04-01 15:15:00,2026-04-01 15:19:00,4.0,2026-04-01 15:20:00,2026-04-01 15:24:00,2026-04-01 15:44:00,2026-04-01 15:46:00,A43 ,65.0
2026-04-01,LX786,2026-04-01 09:50:00,2026-04-01 10:18:00,28.0,2026-04-01 09:55:00,2026-04-01 10:23:00,2026-04-01 10:41:00,2026-04-01 10:48:00,A49 ,44.0
2026-04-01,LX788,2026-04-01 19:35:00,2026-04-01 19:38:00,3.0,2026-04-01 19:40:00,2026-04-01 19:43:00,2026-04-01 19:56:00,2026-04-01 20:26:00,A47 ,37.0
2026-04-01,ME215,2026-04-01 11:35:00,2026-04-01 11:14:00,-21.0,2026-04-01 11:39:00,2026-04-01 11:18:00,2026-04-01 11:45:00,2026-04-01 11:56:00,B31 A,128.0
2026-04-01,NH231,2026-04-01 18:35:00,2026-04-01 18:24:00,-11.0,2026-04-01 18:40:00,2026-04-01 18:29:00,2026-04-01 18:42:00,2026-04-01 19:12:00,B5  A,200.0
2026-04-01,OS291,2026-04-01 10:05:00,2026-04-01 09:49:00,-16.0,2026-04-01 10:11:00,2026-04-01 09:55:00,2026-04-01 10:06:00,2026-04-01 10:11:00,A47 ,13.0
2026-04-01,OS295,2026-04-01 17:45:00,2026-04-01 17:32:00,-13.0,2026-04-01 17:50:00,2026-04-01 17:37:00,2026-04-01 17:49:00,2026-04-01 17:51:00,A51 ,22.0
2026-04-01,OS297,2026-04-01 20:10:00,2026-04-01 20:02:00,-8.0,2026-04-01 20:14:00,2026-04-01 20:06:00,2026-04-01 20:26:00,2026-04-01 20:27:00,A51 ,14.0
2026-04-01,OU4456,2026-04-01 20:50:00,2026-04-01 20:52:00,2.0,2026-04-01 21:01:00,2026-04-01 21:03:00,2026-04-01 21:21:00,2026-04-01 21:23:00,A56 ,13.0
2026-04-01,OU456,2026-04-01 09:40:00,2026-04-01 09:22:00,-18.0,2026-04-01 09:47:00,2026-04-01 09:29:00,2026-04-01 09:51:00,2026-04-01 09:54:00,A49 ,4.0
2026-04-01,QS1002,2026-04-01 19:45:00,2026-04-01 19:25:00,-20.0,2026-04-01 19:51:00,2026-04-01 19:31:00,2026-04-01 19:42:00,2026-04-01 19:43:00,A62 ,13.0
2026-04-01,RO373,2026-04-01 19:35:00,2026-04-01 20:22:00,47.0,2026-04-01 19:45:00,2026-04-01 20:32:00,2026-04-01 20:50:00,2026-04-01 20:52:00,A66 ,12.0
2026-04-01,SK1589,2026-04-01 19:15:00,2026-04-01 19:01:00,-14.0,2026-04-01 19:20:00,2026-04-01 19:06:00,2026-04-01 19:24:00,2026-04-01 19:28:00,A43 ,67.0
2026-04-01,SK1593,2026-04-01 15:35:00,2026-04-01 15:35:00,0.0,2026-04-01 15:41:00,2026-04-01 15:41:00,2026-04-01 15:55:00,2026-04-01 15:59:00,A45 ,40.0
2026-04-01,SK4745,2026-04-01 21:30:00,2026-04-01 21:12:00,-18.0,2026-04-01 21:35:00,2026-04-01 21:17:00,2026-04-01 21:39:00,2026-04-01 21:44:00,A43 ,110.0
2026-04-01,SK589,2026-04-01 11:15:00,2026-04-01 10:48:00,-27.0,2026-04-01 11:26:00,2026-04-01 10:59:00,2026-04-01 11:09:00,2026-04-01 11:12:00,A40 ,53.0
2026-04-01,SK593,2026-04-01 10:40:00,2026-04-01 10:29:00,-11.0,2026-04-01 10:45:00,2026-04-01 10:34:00,2026-04-01 10:46:00,2026-04-01 10:47:00,A55 ,29.0
2026-04-01,SK597,2026-04-01 20:50:00,2026-04-01 20:43:00,-7.0,2026-04-01 20:56:00,2026-04-01 20:49:00,2026-04-01 21:05:00,2026-04-01 21:09:00,A47 ,64.0
2026-04-01,SN1154,2026-04-01 17:00:00,2026-04-01 17:07:00,7.0,2026-04-01 17:06:00,2026-04-01 17:13:00,2026-04-01 17:28:00,2026-04-01 18:00:00,B17 A,197.0
2026-04-01,SN206,2026-04-01 06:20:00,2026-04-01 06:43:00,23.0,2026-04-01 06:25:00,2026-04-01 06:48:00,2026-04-01 07:07:00,2026-04-01 07:30:00,B38 A,154.0
2026-04-01,SN2096,2026-04-01 21:00:00,2026-04-01 20:53:00,-7.0,2026-04-01 21:03:00,2026-04-01 20:56:00,2026-04-01 21:18:00,2026-04-01 21:20:00,B31 A,45.0
2026-04-01,SN2104,2026-04-01 09:55:00,2026-04-01 09:47:00,-8.0,2026-04-01 09:59:00,2026-04-01 09:51:00,2026-04-01 10:25:00,2026-04-01 10:48:00,B9  A,25.0
2026-04-01,SN2184,2026-04-01 09:30:00,2026-04-01 09:51:00,21.0,2026-04-01 09:35:00,2026-04-01 09:56:00,2026-04-01 10:25:00,2026-04-01 10:28:00,B36 A,17.0
2026-04-01,SN2258,2026-04-01 14:25:00,2026-04-01 14:21:00,-4.0,2026-04-01 14:28:00,2026-04-01 14:24:00,2026-04-01 14:41:00,2026-04-01 14:44:00,A42 ,25.0
2026-04-01,SN2260,2026-04-01 20:45:00,2026-04-01 20:45:00,0.0,2026-04-01 20:55:00,2026-04-01 20:55:00,2026-04-01 21:13:00,2026-04-01 21:16:00,A62 ,33.0
2026-04-01,SN2288,2026-04-01 09:45:00,2026-04-01 09:19:00,-26.0,2026-04-01 09:49:00,2026-04-01 09:23:00,2026-04-01 09:40:00,2026-04-01 09:41:00,A57 ,13.0
2026-04-01,SN2292,2026-04-01 16:05:00,2026-04-01 15:50:00,-15.0,2026-04-01 16:08:00,2026-04-01 15:53:00,2026-04-01 16:15:00,2026-04-01 16:16:00,A46 ,19.0
2026-04-01,SN2294,2026-04-01 20:50:00,2026-04-01 20:33:00,-17.0,2026-04-01 20:56:00,2026-04-01 20:39:00,2026-04-01 20:56:00,2026-04-01 21:00:00,A58 ,17.0
2026-04-01,SN2298,2026-04-01 09:45:00,2026-04-01 09:39:00,-6.0,2026-04-01 09:48:00,2026-04-01 09:42:00,2026-04-01 10:22:00,2026-04-01 10:23:00,A44 ,8.0
2026-04-01,SN2318,2026-04-01 21:00:00,2026-04-01 21:56:00,56.0,2026-04-01 21:05:00,2026-04-01 22:01:00,2026-04-01 22:21:00,2026-04-01 22:26:00,A57 ,20.0
2026-04-01,SN2324,2026-04-01 09:40:00,2026-04-01 09:28:00,-12.0,2026-04-01 09:43:00,2026-04-01 09:31:00,2026-04-01 10:08:00,2026-04-01 10:10:00,A46 ,3.0
2026-04-01,SN2372,2026-04-01 18:50:00,2026-04-01 18:27:00,-23.0,2026-04-01 18:57:00,2026-04-01 18:34:00,2026-04-01 18:47:00,2026-04-01 18:49:00,A48 ,13.0
2026-04-01,SN245,2026-04-01 06:50:00,2026-04-01 07:17:00,27.0,2026-04-01 06:54:00,2026-04-01 07:21:00,2026-04-01 07:44:00,2026-04-01 07:58:00,B37 A,13.0
2026-04-01,SN2548,2026-04-01 21:05:00,2026-04-01 20:41:00,-24.0,2026-04-01 21:18:00,2026-04-01 20:54:00,2026-04-01 21:05:00,2026-04-01 21:06:00,A68 ,13.0
2026-04-01,SN2556,2026-04-01 21:10:00,2026-04-01 20:47:00,-23.0,2026-04-01 21:19:00,2026-04-01 20:56:00,2026-04-01 21:15:00,2026-04-01 21:18:00,A70 ,71.0
2026-04-01,SN2560,2026-04-01 09:55:00,2026-04-01 09:41:00,-14.0,2026-04-01 10:00:00,2026-04-01 09:46:00,2026-04-01 10:04:00,2026-04-01 10:05:00,A59 ,2.0
2026-04-01,SN2580,2026-04-01 10:55:00,2026-04-01 10:46:00,-9.0,2026-04-01 11:06:00,2026-04-01 10:57:00,2026-04-01 11:15:00,2026-04-01 11:20:00,A52 ,5.0
2026-04-01,SN2582,2026-04-01 14:05:00,2026-04-01 14:45:00,40.0,2026-04-01 14:08:00,2026-04-01 14:48:00,2026-04-01 15:08:00,2026-04-01 15:11:00,A58 ,44.0
2026-04-01,SN2588,2026-04-01 21:10:00,2026-04-01 21:01:00,-9.0,2026-04-01 21:18:00,2026-04-01 21:09:00,2026-04-01 21:30:00,2026-04-01 21:31:00,A64 ,31.0
2026-04-01,SN2608,2026-04-01 11:10:00,2026-04-01 11:00:00,-10.0,2026-04-01 11:20:00,2026-04-01 11:10:00,2026-04-01 11:46:00,2026-04-01 11:50:00,A44 ,47.0
2026-04-01,SN2612,2026-04-01 14:40:00,2026-04-01 14:38:00,-2.0,2026-04-01 14:43:00,2026-04-01 14:41:00,2026-04-01 15:03:00,2026-04-01 15:06:00,A44 ,91.0
2026-04-01,SN2614,2026-04-01 18:30:00,2026-04-01 18:15:00,-15.0,2026-04-01 18:38:00,2026-04-01 18:23:00,2026-04-01 18:42:00,2026-04-01 18:44:00,A46 ,32.0
2026-04-01,SN2616,2026-04-01 21:40:00,2026-04-01 21:23:00,-17.0,2026-04-01 21:46:00,2026-04-01 21:29:00,2026-04-01 21:39:00,2026-04-01 21:40:00,A60 ,14.0
2026-04-01,SN2618,2026-04-01 23:35:00,2026-04-01 23:20:00,-15.0,2026-04-01 23:38:00,2026-04-01 23:23:00,2026-04-01 23:41:00,2026-04-01 23:44:00,A54 ,59.0
2026-04-01,SN2624,2026-04-01 13:50:00,2026-04-01 13:41:00,-9.0,2026-04-01 13:57:00,2026-04-01 13:48:00,2026-04-01 14:09:00,2026-04-01 14:10:00,A50 ,9.0
2026-04-01,SN2630,2026-04-01 09:15:00,2026-04-01 08:59:00,-16.0,2026-04-01 09:19:00,2026-04-01 09:03:00,2026-04-01 09:21:00,2026-04-01 09:28:00,A40 ,2.0
